name,team,position,value,total_points
Pedro Rodríguez Ledesma,8,3,79.0,1.0
Per Mertesacker,3,2,49.0,0.0
Peter Crouch,110,4,49.0,1.0
Petr Cech,3,1,55.0,10.0
Philippe Coutinho,14,3,88.0,2.0
Phil Bardsley,90,2,44.0,0.0
Phil Jagielka,11,2,50.0,0.0
Phil Jones,1,2,51.0,6.0
Pierre-Emile Højbjerg,20,3,44.0,0.0
Ragnar Klavan,14,2,45.0,2.0
Raheem Sterling,43,3,78.0,9.0
Ramadan Sobhi,110,3,49.0,1.0
Ramiro Funes Mori,11,2,49.0,0.0
Rekeem Harper,35,3,45.0,0.0
Riyad Mahrez,13,3,85.0,2.0
Robbie Brady,90,3,55.0,6.0
Robert Kenedy Nunes do Nascimento,4,3,49.0,0.0
Roberto Firmino,14,3,86.0,2.0
Roberto Pereyra,57,3,58.0,1.0
Robert Huth,13,2,49.0,0.0
Robert Snodgrass,21,3,58.0,0.0
Rob Holding,3,2,48.0,0.0
Romelu Lukaku,1,4,117.0,12.0
Ross Barkley,8,3,74.0,0.0
Ruben Loftus-Cheek,31,3,45.0,2.0
Ryan Bertrand,20,2,55.0,6.0
Ryan Fraser,91,3,54.0,2.0
Ryan Shawcross,110,2,50.0,0.0
Sadio Mané,14,3,95.0,0.0
Saido Berahino,110,4,59.0,0.0
Salomón Rondón,35,4,62.0,0.0
Sam Byram,21,2,44.0,0.0
Sam Clucas,80,3,50.0,3.0
Sam Field,35,3,45.0,0.0
Sam McQueen,20,3,44.0,0.0
Sam Vokes,90,4,61.0,1.0
Santiago Cazorla,3,3,70.0,0.0
Scott Arfield,90,3,49.0,10.0
Scott Dann,31,2,49.0,1.0
Scott McTominay,1,3,44.0,0.0
Seamus Coleman,11,2,65.0,0.0
Sebastian Prödl,57,2,45.0,0.0
Sergio Agüero,43,4,114.0,20.0
Sergio Romero,1,1,49.0,0.0
Shane Long,20,4,58.0,1.0
Shinji Okazaki,13,4,55.0,0.0
Shkodran Mustafi,3,2,54.0,6.0
Simon Francis,91,2,44.0,2.0
Simon Mignolet,14,1,50.0,2.0
Sofiane Boufal,20,3,58.0,0.0
Sofiane Feghouli,21,3,55.0,0.0
Stefano Okaka,57,4,55.0,0.0
Stephen Kingsley,80,2,45.0,0.0
Stephen Ward,90,2,45.0,2.0
Steven Berghuis,57,3,50.0,0.0
Steven Davis,20,3,50.0,11.0
Steven Defour,90,3,55.0,2.0
Steve Cook,91,2,49.0,0.0
Stuart Taylor,20,1,40.0,0.0
Sullay Kaikai,31,3,45.0,0.0
Sung-yueng Ki,80,3,50.0,0.0
Theo Walcott,11,3,72.0,0.0
Thibaut Courtois,8,1,55.0,6.0
Timothy Fosu-Mensah,31,2,45.0,2.0
Toby Alderweireld,6,2,60.0,6.0
Tom Carroll,80,3,45.0,2.0
Tom Cleverley,57,3,50.0,2.0
Tom Davies,11,3,54.0,2.0
Tom Heaton,90,1,50.0,0.0
Trent Alexander-Arnold,14,3,45.0,2.0
Troy Deeney,57,4,64.0,1.0
