bad_name,good_name
GaÌÇtan Bong,Ga‘tan Bong
Georges-KÌ©vin Nkoudou,Georges-KŽvin Nkoudou
Gnegneri Yaya TourÌ©,Gnegneri Yaya TourŽ
Gonzalo HiguaÌ?n,Gonzalo Higua’n
GonÌ¤alo Bento Soares Cardoso,Gonalo Bento Soares Cardoso
GÌ¦khan Inler,Gškhan Inler
GÌ¦khan TÌ¦re,Gškhan Tšre
HÌ´vard Nordtveit,HŒvard Nordtveit
HÌ©ctor BellerÌ?n,HŽctor Beller’n
HÌ©lder Costa,HŽlder Costa
Ibrahima CissÌ©,Ibrahima CissŽ
Ilkay GÌ?ndogan,Ilkay GŸndogan
IsmaÌøla Sarr,Isma•la Sarr
Javier HernÌÁndez BalcÌÁzar,Javier Hern‡ndez Balc‡zar
JesÌ© RodrÌ?guez Ruiz,JesŽ Rodr’guez Ruiz
JesÌ¼s GÌÁmez Duarte,Jesœs G‡mez Duarte
JesÌ¼s Navas,Jesœs Navas
JesÌ¼s Vallejo LÌÁzaro,Jesœs Vallejo L‡zaro
Joelinton CÌÁssio ApolinÌÁrio de Lira,Joelinton C‡ssio Apolin‡rio de Lira
Jonas LÌ¦ssl,Jonas Lšssl
Jose Luis Mato SanmartÌ?n,Jose Luis Mato Sanmart’n
JosÌ© Diogo Dalot Teixeira,JosŽ Diogo Dalot Teixeira
JosÌ© Heriberto Izquierdo Mena,JosŽ Heriberto Izquierdo Mena
JosÌ© Holebas,JosŽ Holebas
JosÌ© Ignacio Peleteiro Romallo,JosŽ Ignacio Peleteiro Romallo
JosÌ© Reina,JosŽ Reina
JosÌ© Ìngel EsmorÌ?s Tasende,JosŽ çngel Esmor’s Tasende
JoÌ£o Filipe Iria Santos Moutinho,Jo‹o Filipe Iria Santos Moutinho
JoÌ£o Manuel Neves VirgÌ?nia,Jo‹o Manuel Neves Virg’nia
JoÌ£o MÌÁrio Naval Costa Eduardo,Jo‹o M‡rio Naval Costa Eduardo
JoÌ£o Pedro Cavaco Cancelo,Jo‹o Pedro Cavaco Cancelo
JoÌ£o Pedro Junqueira de Jesus,Jo‹o Pedro Junqueira de Jesus
Juan ZuÌ±iga,Juan Zu–iga
JÌ©rÌ©my Pied,JŽrŽmy Pied
JÌ?rgen Locadia,JŸrgen Locadia
Lamine KonÌ©,Lamine KonŽ
Leroy SanÌ©,Leroy SanŽ
LoÌøc Damour,Lo•c Damour
LoÌøc Remy,Lo•c Remy
Lucas PÌ©rez,Lucas PŽrez
Luis HernÌÁndez,Luis Hern‡ndez
Mamadou Obbi OularÌ©,Mamadou Obbi OularŽ
Manuel Agudo DurÌÁn,Manuel Agudo Dur‡n
Mario SuÌÁrez,Mario Su‡rez
MartÌ?n CÌÁceres,Mart’n C‡ceres
MartÌ?n Montoya,Mart’n Montoya
Mauro ZÌÁrate,Mauro Z‡rate
Mesut ÌÐzil,Mesut …zil
Michael SimÌµes Domingues,Michael Sim›es Domingues
Miguel AlmirÌ?n,Miguel Almir—n
Mohamed DiamÌ©,Mohamed DiamŽ
Molla WaguÌ©,Molla WaguŽ
Mousa DembÌ©lÌ©,Mousa DembŽlŽ
Muhamed BeÁi€à,Muhamed Be?i?
N'Golo KantÌ©,N'Golo KantŽ
Nathan AkÌ©,Nathan AkŽ
Nicolas PÌ©pÌ©,Nicolas PŽpŽ
NicolÌÁs Otamendi,Nicol‡s Otamendi
Niki MÌ?enpÌ?Ì?,Niki MŠenpŠŠ
Onel HernÌÁndez,Onel Hern‡ndez
Pablo MarÌ?,Pablo Mar’
Pape SouarÌ©,Pape SouarŽ
Pascal GroÌÙ,Pascal Gro§
Pau LÌ?pez Sabata,Pau L—pez Sabata
Pedro RodrÌ?guez Ledesma,Pedro Rodr’guez Ledesma
Pierre-Emile HÌüjbjerg,Pierre-Emile H¿jbjerg
RaÌ¼l JimÌ©nez,Raœl JimŽnez
Roderick Jefferson GonÌ¤alves Miranda,Roderick Jefferson Gonalves Miranda
Romain SaÌøss,Romain Sa•ss
Rui Pedro dos Santos PatrÌ?cio,Rui Pedro dos Santos Patr’cio
RÌ¼ben Diogo da Silva Neves,Rœben Diogo da Silva Neves
RÌ¼ben GonÌ¤alo Silva Nascimento Vinagre,Rœben Gonalo Silva Nascimento Vinagre
Sadio ManÌ©,Sadio ManŽ
SalomÌ?n RondÌ?n,Salom—n Rond—n
Sandro RamÌ?rez,Sandro Ram’rez
Sebastian PrÌ¦dl,Sebastian Pršdl
Sergio AgÌ?ero,Sergio AgŸero
SÌ©bastien Haller,SŽbastien Haller
SÌ©bastien Pocognoli,SŽbastien Pocognoli
TiemouÌ© Bakayoko,TiemouŽ Bakayoko
Uwe HÌ?nemeier,Uwe HŸnemeier
Victor LindelÌ¦f,Victor Lindelšf
VÌ?ctor Camarasa,V’ctor Camarasa
VÌ?ctor ValdÌ©s,V’ctor ValdŽs
Ìlvaro Arbeloa,çlvaro Arbeloa
Ìlvaro Morata,çlvaro Morata
Ìlvaro Negredo,çlvaro Negredo
Ìàaglar SÌ¦yÌ?ncÌ?,‚aglar SšyŸncŸ
Ì÷rjan Nyland,¯rjan Nyland
Eduardo dos Reis Carvalho,Eduardo Dos Reis Carvalho
Ahmed Elmohamady,Ahmed El Mohamady
Emile Smith Rowe,Emile Smith-Rowe
Muhamed Besic,Muhamed Bešić
Heurelho Gomes,Heurelho da Silva Gomes
